Vial No,Raw ID,BMSCC,Log10BMSCC,TBC,Log10TBC,TSA,Log10TSA,TNAS,Log10TNAS,TEC,Log10TEC,S. aureus,C. Jejuni,E. coli,E. coli O157,E. coli O157 EAE,E. coli O157 STX1,E. coli O157 STX2,Listeria monocytogenes,Salmonella enterobacter,Yersinia enterocolitica,Month,Season,District,Season1,T_rearing2,F_Zone4,C_container5,Fre_clean,Dry_Cont,H_dry_cont,Dry_upside,Open_BM,BM_sieve,Sc_milker1,P_CM,Mix_CM,,,TN_Buffalo,W_milk1,Wash_buffalo,W_hand,N_Lactating,N_Dry,N_Heifer,N_calf
9,113,"36,000",4.56,90.91,1.96,,,"5,455",3.74,,,0,0,1,1,0,0,1,0,0,1,November,Late autumn,Mymensingh,1,0,0,,,1,1,1,1,0,0,0,0,,,43.00,2,1,1,7,7,4,12
11,119,"262,000",5.42,"63,636.36",4.80,,,,,,,0,0,1,1,0,1,0,0,0,1,November,Late autumn,Mymensingh,1,1,0,1,2,1,1,1,1,0,0,0,0,,,11.00,1,0,1,3,,1,3
12,123,"91,000",4.96,"7,454.55",3.87,,,"62,727",4.80,727,2.862,0,0,1,0,0,0,0,0,0,1,November,Late autumn,Mymensingh,1,1,0,0,1,1,1,1,0,1,0,0,0,,,10.00,1,0,1,3,3,2,6
18,159,"104,000",5.02,"91,818.18",4.96,,,"6,364",3.80,,,0,0,1,0,0,0,0,1,0,1,December,Late autumn,Jamalpur,1,0,0,0,1,1,1,1,1,0,1,0,0,,,32.00,1,0,0,13,3,2,12
17,157,"312,000",5.49,"490,909.09",5.69,,,"19,091",4.28,,,1,0,1,0,0,0,0,0,0,1,December,Late autumn,Jamalpur,1,0,0,1,1,1,1,1,1,0,0,0,0,,,18.00,"1,2",0,1,24,25,15,24
13,127,"105,000",5.02,"7,909.09",3.90,,,909,2.96,,,0,0,1,0,0,0,0,0,0,1,December,Late autumn,Jamalpur,1,1,0,0,2,1,1,1,1,1,0,0,0,,,18.00,1,0,1,8,2,0,8
16,146,"107,000",5.03,"28,181.82",4.45,,,"5,455",3.74,91,1.959,0,0,1,0,0,0,0,1,0,1,December,Late autumn,Jamalpur,1,1,0,1,1,1,1,1,1,0,1,0,0,,,88.00,2,0,0,8,1,3,6
15,142,"83,000",4.92,"7,181.82",3.86,,,,,,,0,0,1,0,0,0,0,1,0,1,December,Late autumn,Jamalpur,1,1,0,0,1,1,1,1,,0,1,0,0,,,11.00,1,0,0,5,,1,5
14,135,"155,000",5.19,"32,727.27",4.51,,,"8,182",3.91,,,0,0,1,0,0,0,0,1,0,1,December,Late autumn,Jamalpur,1,1,0,0,2,1,1,1,1,0,0,0,0,,,44.00,1,0,1,20,10,7,7
8,109,"691,000",5.84,"436,363.64",5.64,,,"13,636",4.13,91,1.959,0,0,1,0,0,0,0,1,0,1,October,Late autumn,Noakhali,1,0,0,1,2,1,1,1,1,0,1,1,1,,,14.00,2,1,0,43,60,37,30
10,116,"192,000",5.28,"1,727.27",3.24,,,909,2.96,,,0,0,1,1,0,0,1,0,0,1,November,Late autumn,Mymensingh,1,1,0,0,1,1,1,1,1,0,1,1,1,,,30.00,1,0,0,4,2,4,2
5,89,"328,000",5.52,"4,909,090.91",6.69,"8,182",3.91,"2,000,000",6.30,,,0,0,1,1,0,0,1,1,0,1,March,Spring,Bhola,0,1,0,0,1,1,1,1,1,0,0,0,0,,,6.00,1,0,1,3,0,0,3
3,82,"189,000",5.28,"47,272.73",4.67,,,"18,182",4.26,,,0,0,1,1,0,1,1,1,0,1,March,Spring,Bhola,0,1,0,0,1,1,1,1,1,0,0,0,0,,,5.00,1,0,1,2,0,1,2
24,215,"101,000",5.00,"27,272.73",4.44,,,"10,909",4.04,"1,273",3.105,0,0,1,0,0,0,0,0,0,1,February,Spring,Rajshahi,0,0,0,0,1,1,1,0,0,0,1,0,0,,,32.00,"1,3",0,0,21,0,3,8
27,238,"707,000",5.85,"309,090.91",5.49,,,"20,909",4.32,,,0,0,1,0,0,0,0,0,1,0,March,Spring,Noakhali,0,1,0,0,1,1,0,1,1,0,1,0,0,,,9.00,1,0,0,2,3,1,3
26,230,"334,000",5.52,"236,363.64",5.37,,,"8,182",3.91,91,1.959,0,0,1,0,0,0,0,1,0,0,March,Spring,Rajshahi,0,1,0,0,1,1,1,1,1,0,1,0,0,,,3.00,3,0,0,2,0,0,1
2,79,"332,000",5.52,"42,727.27",4.63,,,,,91,1.959,0,0,1,1,0,0,1,1,0,1,March,Spring,Bhola,0,1,0,0,1,1,1,1,1,0,1,0,0,,,6.00,1,0,0,3,,0,3
34,271,"437,000",5.64,"654,545.45",5.82,,,"82,727",4.92,"3,364",3.527,0,0,1,1,0,0,1,1,0,1,April,Spring,Noakhali,0,1,1,0,1,1,0,1,1,0,1,0,0,,,36.00,1,0,0,5,13,10,8
35,272,"316,000",5.50,"363,636.36",5.56,"4,545",3.66,"111,818",5.05,,,1,0,1,1,0,0,1,1,0,1,April,Spring,Noakhali,0,1,1,0,1,1,0,1,1,0,1,0,0,,,64.00,1,0,0,12,10,2,40
4,85,"190,000",5.28,"17,090.91",4.23,,,"71,818",4.86,,,0,0,1,1,0,0,1,1,0,1,March,Spring,Bhola,0,1,0,1,1,1,1,1,1,0,1,0,0,,,4.00,1,0,0,1,0,0,3
29,241,"124,000",5.09,"463,636.36",5.67,,,"78,182",4.89,273,2.436,0,0,1,1,0,0,1,1,0,1,March,Spring,Noakhali,0,1,1,1,1,1,0,1,1,0,1,0,0,,,60.00,2,0,0,18,15,9,18
28,240,"459,000",5.66,"140,000.00",5.15,,,"72,727",4.86,,,0,0,1,1,0,0,1,1,0,1,March,Spring,Noakhali,0,1,1,1,1,1,0,1,1,0,1,0,0,,,6.00,2,0,0,3,0,0,3
31,253,"184,000",5.26,"137,272.73",5.14,,,"36,364",4.56,,,0,0,1,0,0,0,0,1,0,1,March,Spring,Noakhali,0,1,1,1,1,1,0,0,1,0,1,0,0,,,29.00,2,0,0,10,3,10,6
36,277,"604,000",5.78,"427,272.73",5.63,,,"254,545",5.41,,,0,0,1,0,0,0,0,1,0,1,April,Spring,Noakhali,0,1,1,1,1,1,0,1,1,0,1,0,0,,,24.00,1,0,0,12,0,0,12
23,200,"88,000",4.94,"118,181.82",5.07,909,2.96,"18,182",4.26,91,1.959,0,0,1,0,0,0,0,1,0,1,February,Spring,Rajshahi,0,0,0,0,1,0,1,1,0,0,0,0,0,,,16.00,1,0,1,5,3,3,5
25,224,"369,000",5.57,"700,000.00",5.85,,,"18,182",4.26,727,2.862,0,0,1,1,0,1,1,1,0,0,March,Spring,Rajshahi,0,0,0,0,1,1,1,1,1,0,1,0,0,,,14.00,3,0,0,3,4,3,4
1,77,"150,000",5.18,"463,636.36",5.67,,,"900,000",5.95,455,2.658,0,0,1,1,0,0,1,0,0,1,March,Spring,Bhola,0,1,1,1,1,1,1,1,1,0,1,0,0,,,37.00,1,0,0,7,13,10,7
33,263,"691,000",5.84,"2,545,454.55",6.41,,,"72,727",4.86,"9,091",3.959,0,0,1,0,0,0,0,1,0,1,March,Spring,Noakhali,0,0,0,0,1,1,0,1,1,0,1,0,0,,,8.00,1,0,0,3,1,1,3
32,259,"204,000",5.31,"2,363,636.36",6.37,,,"21,818",4.34,,,0,0,1,1,0,0,1,0,0,0,March,Spring,Noakhali,0,1,0,0,1,1,0,0,1,0,1,0,1,,,5.00,1,0,0,2,0,1,2
30,250,"858,000",5.93,"963,636.36",5.98,,,909,2.96,,,1,0,1,1,0,0,1,1,0,1,March,Spring,Noakhali,0,1,0,1,1,1,0,1,1,0,1,0,1,,,17.00,1,0,0,6,5,0,6
21,170,"151,000",5.18,"2,363,636.36",6.37,,,"8,182",3.91,"2,273",3.357,0,0,1,1,1,0,1,1,0,0,January,Winter,Moulovibazar,1,1,0,1,1,1,1,1,1,0,1,0,0,,,14.00,2,0,0,2,,,2
22,183,"143,000",5.16,"2,636,363.64",6.42,,,,,"2,455",3.390,0,0,1,0,0,0,0,1,0,0,January,Winter,Moulovibazar,1,1,0,0,1,0,,0,1,0,1,0,1,,,16.00,2,0,0,8,10,13,8
20,163,"78,000",4.89,"30,000.00",4.48,,,"180,000",5.26,273,2.436,0,0,1,1,0,0,1,0,0,1,January,Winter,Moulovibazar,1,1,0,1,1,1,1,1,1,0,1,0,1,,,133.00,3,0,0,5,2,4,5
19,160,"172,000",5.24,"2,727,272.73",6.44,,,"115,455",5.06,"4,364",3.640,0,0,0,1,0,0,1,0,0,0,January,Winter,Moulovibazar,1,1,0,1,1,1,1,1,1,0,1,1,1,,,170.00,2,0,0,2,4,0,0
