FID,C_FID,Vial No,Raw ID,Date,District,TBC,Log10TBC,TSA,Log10TSA,TNAS,Log10TNAS,TEC,Log10TEC,TBC/mL,TSA/mL,TNAS/mL,TEC/mL,S. aureus,C. Jejuni,E. coli,E. coli O157,E. coli O157 EAE,E. coli O157 STX1,E. coli O157 STX2,Listeria monocytogenes,Salmonella enterobacter,Yersinia enterocolitica,Type_Trader,Type_Trader1,Nature_milk1,Nature_milk1,Type_container1,,,T-_milk_market,Store_shop
72,72,74,42,13-Mar-20,Bhola,545455,5.737,909,2.959,40909,4.612,,,"545,455",909,"40,909",0,0,0,1,0,0,0,0,0,0,0,3,0,Buffalo milk,1,Plastic,,,150,0
73,73,75,43,13-Mar-20,Bhola,"281,818",5.450,,,52727,4.722,545,2.737,"281,818",0,"52,727",545,0,0,0,0,0,0,0,0,0,0,3,0,Buffalo milk,1,Plastic,,,180,0
85,,77,57,18-Mar-20,Bhola,"22,181,818",7.346,,,2272727,6.357,21818,4.339,"22,181,818",0,"2,272,727","21,818",1,0,1,1,1,0,1,1,0,0,"1,2",1,Buffalo milk,1,Plastic,,,360,0
87,,78,71,13-Dec-20,Jamalpur,"25,000,000",7.398,18182,4.260,981818,5.992,681818,5.834,"25,000,000","18,182","981,818","681,818",0,0,1,0,0,0,0,0,0,0,3,0,Buffalo milk,1,Aluminium,,,120,1
156,156,84,77,23-Jan-21,Maulvibazar,,,,,209091,5.320,7273,3.862,"18,454,545",0,0,0,0,0,1,1,1,0,1,0,0,0,3,0,Buffalo milk,1,Plastic,,,120,1
122,122,85,81,24-Jan-21,Maulvibazar,,,,,1818,3.260,372727,5.571,"4,818,182",0,0,0,1,0,1,1,1,0,1,0,0,1,3,0,Buffalo milk,1,Aluminium,,,120,0
113,113,86,87,26-Jan-21,Maulvibazar,"60,000,000",7.778,,,5455,3.737,5090909,6.707,"6,000,000",0,0,0,1,0,1,1,0,0,1,1,0,0,3,0,Buffalo milk,1,Tin,,,180,1
145,145,87,88,26-Jan-21,Maulvibazar,98181818,7.992,,,8182,3.913,65455,4.816,"9,818,182",0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,Buffalo milk,1,Tin,,,180,1
93,,88,92,27-Jan-21,Maulvibazar,8090909091,9.908,,,5000000,6.699,3636364,6.561,"8,090,909,091",0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,Buffalo milk,1,Tin,,,480,1
150,150,89,97,27-Jan-21,Maulvibazar,"111,818,182",8.049,,,327273,5.515,30909,4.490,"111,818,182",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,Buffalo milk,1,Tin,,,180,0
166,166,92,114,25-Feb-21,Rajshahi,"418,182",5.621,909,2.959,70909,4.851,2000,3.301,"418,182",909,"70,909","2,000",0,0,1,1,0,0,1,0,0,0,3,0,Buffalo milk,1,Aluminium,,,120,1
168,168,93,116,25-Feb-21,Rajshahi,"1,136,364",6.056,,,18182,4.260,,,"1,136,364",0,"17,273",0,0,0,0,0,0,0,0,0,0,0,3,0,Buffalo milk,1,Aluminium,,,300,1
176,176,95,122,27-Feb-21,Rajshahi,"59,091",4.772,,,11818,4.073,455,2.658,"59,091",0,"11,818",455,1,0,1,1,1,0,1,0,0,0,3,0,Buffalo milk,1,Aluminium,,,180,1
172,172,99,144,4-Mar-21,Rajshahi,127273,5.105,,,10909,4.038,,,"127,273",0,"10,909","163,636",0,0,1,0,0,0,0,0,1,0,3,0,Buffalo milk,1,Plastic,,,140,1
180,180,100,149,24.3.21,Noakhali,"1,500,000",6.176,,,93636.36364,4.971,91,1.959,"1,650,000",0,"10,000",100,0,0,1,0,0,0,0,0,0,0,"2,3",1,Buffalo milk,1,Aluminium,,,2,0
,,101,154,24.3.21,Noakhali,"7,818,182",6.893,,,7636363.636,6.883,3091,3.490,"8,600,000",0,"50,000","3,400",0,0,0,0,0,0,0,0,0,0,"2,3",1,Buffalo milk,1,Aluminium,,,2,0
193,193,102,159,25.3.21,Noakhali,"24,545,455",7.390,,,1163636.364,6.066,20909,4.320,"29,900,000",0,"140,000","50,000",0,0,1,0,0,0,0,0,0,0,3,0,Buffalo milk,1,Aluminium,,,3,1
197,197,104,169,29.3.21,Noakhali,"10,000,000",7.000,,,900000,5.954,"2,091",3.320,"114,000,000",0,"3,000","30,000",0,0,0,0,0,0,0,0,0,0,"1,2",1,Buffalo milk,1,Aluminium,,,6,0
203,203,105,175,1.4.21,Noakhali,"4,727,273",6.675,,,75454545.45,7.878,34545,4.538,"52,000,000",0,"830,000","38,000",1,0,1,1,1,0,0,0,0,0,"1,2,3",1,Buffalo milk,1,Plastic,,,2,0
205,205,106,183,2.4.21,Noakhali,"123,636",5.092,,,518181.8182,5.714,28182,4.450,"1,360,000",0,"5,700","31,000",0,0,1,0,0,0,0,0,0,0,"1,2",1,Buffalo milk,1,Plastic,,,2.5,0
208,208,107,188,2.4.21,Noakhali,"191,818",5.283,,,40909090.91,7.612,863636,5.936,"72,000,000",0,"450,000","900,000",0,0,1,1,1,0,0,0,0,0,"1,2",1,Buffalo milk,1,Plastic,,,2.5,0
211,211,108,191,4.4.21,Noakhali,"9,000,000",6.954,"2,727",3.436,32727.27273,4.515,91,1.959,"9,900,000",0,360,"1,000",0,0,1,1,1,0,0,0,0,0,"1,2",1,Buffalo milk,1,Plastic,,,5,0
218,218,109,192,4.4.21,Noakhali,"4,090,909",6.612,909,2.959,100909.0909,5.004,"1,364",3.135,"4,500,000",10,"1,600","4,000",0,0,1,1,1,0,0,0,0,0,"1,2",1,Buffalo milk,1,Plastic,,,5,0
221,221,110,193,4.4.21,Noakhali,"2,545,455",6.406,,,"82,727",4.918,,,"670,000",0,910,0,0,0,1,0,0,0,0,0,0,0,"1,2",1,Buffalo milk,1,Plastic,,,5,0
222,224,80,C3,8-Nov-20,Mymensingh,"15,909,091",7.202,,,2909091,6.464,10454545,7.019,"15,909,091",0,"2,909,091","10,454,545",0,0,1,1,1,0,1,0,0,0,3,0,Buffalo milk,1,Plastic,,,240,1
234,234,81,55,10-Dec-20,Bhola,"3,272,727",6.515,,,7273,3.862,364,2.561,"27,090,909","8,182","16,545,455",0,1,0,1,0,0,0,0,0,0,1,3,0,Cow-Buffalo mix milk,0,Plastic,,,120,0
239,,76,55,17-Mar-20,Jamalpur,"27,090,909",7.433,8182,3.913,24545455,7.390,172727,5.237,"27,090,909","8,182","24,545,455","172,727",1,0,1,1,1,0,0,0,0,0,"1,2",1,Cow-Buffalo mix milk,0,Plastic,,,30,0
244,,82,61,20-Mar-20,Bhola,10909091,7.038,4545,3.658,372727,5.571,63636,4.804,"10,909,091","4,545","372,727","63,636",0,0,1,0,0,0,0,0,1,1,"1,2",1,Cow-Buffalo mix milk,0,Aluminium,,,200,1
249,,83,62,11-Dec-20,Jamalpur,"23,818,182",7.377,,,309091,5.490,327273,5.515,"23,818,182",0,"309,091",0,1,0,1,0,0,0,0,0,1,1,"1,3",1,Cow-Buffalo mix milk,0,Aluminium,,,120,1
255,,91,109,30-Jan-21,Maulvibazar,"80,909,091",7.908,,,163636,5.214,363636,5.561,"80,909,091",0,0,0,0,0,1,1,1,0,1,0,1,0,4,0,Cow-Buffalo mix milk,0,Plastic,,,120,1
259,,94,119,26-Feb-21,Rajshahi,"3,363,636",6.527,,,31818,4.503,10091,4.004,"3,363,636",0,"31,818","10,909",0,0,1,0,0,0,0,0,0,0,3,0,Cow-Buffalo mix milk,0,Plastic,,,90,1
265,,96,127,28-Feb-21,Rajshahi,"80,909",4.908,,,7273,3.862,,,"80,909",0,"7,273",0,0,0,1,0,0,0,0,0,0,1,"1,3",1,Cow-Buffalo mix milk,0,Aluminium,,,120,1
273,,97,131,1-Mar-21,Rajshahi,"129,091",5.111,,,10909,4.038,182,2.260,"129,091",0,"10,909",182,0,0,1,0,0,0,0,0,0,1,3,0,Cow-Buffalo mix milk,0,Aluminium,,,180,1
278,,98,134,2-Mar-21,Rajshahi,963636,5.984,,,4545,3.658,7000,3.845,"963,636",0,"4,545","7,000",0,0,1,1,0,0,1,0,0,1,3,0,Cow-Buffalo mix milk,0,Plastic,,,210,1
281,,103,165,27.3.21,Noakhali,"1,109,091",6.045,,,345454.5455,5.538,,,"1,220,000",0,"3,800",0,0,0,1,0,0,0,0,0,0,0,4,0,Cow-Buffalo mix milk,0,Plastic,,,3.5,0
282,,79,C2,10-Nov-20,Mymensingh,"8,454,545",6.927,,,20909091,7.320,1000,3.000,"8,454,545",0,"19,636,364","1,000",0,0,1,1,0,0,1,0,0,0,3,0,Cow-Buffalo mix milk,0,Aluminium,,,120,0
283,,90,105,30-Jan-21,Maulvibazar,"72,727,273",7.862,,,36364,4.561,1818,3.260,"8,909,091",0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,,,,,,,
